Gene	HT-29
ABHD6	 6.411258e-02
ABHD8	 8.053291e-02
ABI1	-3.120309e-01
ABI2	 1.414726e-01
ABI3	-1.072970e-01
ABI3BP	 4.453542e-02
ABL1	 2.851737e-01
ABL2	 2.139021e-01
ABLIM1	 5.023750e-02
ABLIM2	-3.806715e-02
ABLIM3	 1.977031e-01
ABO	 3.301171e-01
ABP1	-1.983299e-02
ABR	-7.026752e-02
ABRA	 1.517025e-01
ABRACL	 3.076618e-01
ABT1	-1.126583e+00
ABTB1	-2.912323e-02
ABTB2	 1.484184e-01
ACAA1	 3.251714e-02
ACAA2	 4.144394e-02
ACACA	-1.830497e-01
ACACB	 1.752225e-01
ACAD10	 1.476891e-01
ACAD11	 8.643413e-02
ACAD8	 6.488821e-02
ACAD9	 6.269506e-02
ACADL	 1.324334e-01
ACADM	 3.087992e-01
ACADS	 2.497901e-01
ACADSB	 4.208798e-04
ACADVL	-1.783963e-02
ACAN	 1.077363e-01
ACAP1	 4.529868e-02
ACAP2	-1.727931e-01
ACAP3	-1.191763e-02
ACAT1	-6.974429e-02
ACAT2	 2.120934e-01
ACBD3	 1.015251e-01
ACBD4	 1.105603e-01
ACBD5	 2.212344e-01
ACBD6	 2.394011e-01
ACBD7	 1.666321e-01
ACCS	 6.813782e-02
ACCSL	 1.914709e-01
ACD	 2.102216e-01
ACE	-3.440613e-02
ACE2	 2.603397e-01
ACER1	 8.829711e-02
ACER2	 1.474944e-01
ACER3	 2.613575e-01
ACHE	-2.319615e-02
ACIN1	 3.570188e-01
ACKR2	 5.561731e-02
ACKR3	 2.890149e-01
ACKR4	 1.443409e-01
ACLY	 3.763113e-02
ACMSD	-3.708255e-02
ACN9	-1.494480e-02
ACO1	-8.653907e-02
ACO2	-6.886851e-01
ACOT1	 1.865887e-01
ACOT11	 9.567790e-02
ACOT12	 9.583241e-02
ACOT13	-6.452169e-02
ACOT2	 3.007094e-01
ACOT4	-8.804292e-02
ACOT6	 7.997037e-02
ACOT7	 1.795778e-01
ACOT8	 5.303411e-02
ACOT9	 2.872113e-01
ACOX1	-1.258410e-01
ACOX2	 5.923693e-02
ACOX3	-5.921484e-02
ACOXL	 6.784725e-02
ACP1	 6.748647e-02
ACP2	-1.368288e-01
ACP5	-3.021499e-02
ACP6	 2.464281e-01
ACPL2	 2.091947e-01
ACPP	 8.210120e-02
ACPT	 1.801739e-01
ACR	-3.230956e-02
ACRBP	-1.444921e-02
ACRC	 2.765550e-01
ACRV1	 1.636042e-01
ACSBG1	 5.574011e-03
ACSBG2	 2.451055e-01
ACSF2	-2.099871e-02
ACSF3	 1.729266e-01
ACSL1	 2.916066e-01
ACSL3	-3.396146e-01
ACSL4	-1.149510e-01
ACSL5	 1.972030e-01
ACSL6	 1.159009e-01
ACSM1	 7.266403e-02
ACSM2A	 1.010690e-01
ACSM2B	 1.743361e-01
ACSM3	 6.957847e-02
ACSM4	 9.519298e-02
ACSM5	 1.866784e-01
ACSS1	-2.988315e-02
ACSS2	 1.109109e-01
ACSS3	 8.429173e-02
ACTA1	-3.503323e-02
ACTA2	-5.944129e-03
ACTB	-7.463443e-01
ACTBL2	 1.540213e-01
ACTC1	-3.854751e-02
ACTG1	-2.578201e-01
ACTG2	-3.306489e-02
ACTL10	-2.305892e-01
ACTL6A	-8.313188e-01
ACTL6B	-1.344244e-02
ACTL7A	-6.546583e-02
ACTL7B	 9.964853e-02
ACTL8	 1.737353e-01
ACTL9	-6.697092e-02
ACTN1	 2.518790e-02
ACTN2	 9.790102e-02
ACTN4	 2.032304e-01
ACTR10	-7.142265e-01
ACTR1A	-5.423173e-01
ACTR1B	 5.235428e-02
ACTR2	-1.075463e+00
ACTR3	-8.293812e-01
ACTR3B	-1.414174e-01
ACTR3C	-9.034615e-04
ACTR5	-6.375020e-03
ACTR6	-9.381086e-01
ACTR8	-3.868264e-01
ACTRT1	-4.244426e-04
ACTRT2	 1.715016e-01
ACTRT3	-1.442839e-01
ACVR1	 1.402064e-01
ACVR1B	 2.689105e-02
ACVR1C	-5.973271e-03
ACVR2A	-1.642902e-01
ACVR2B	 7.920757e-02
ACVRL1	 1.273851e-01
ACY1	-4.704765e-02
ACY3	-5.731934e-02
ACYP1	-2.414295e-03
ACYP2	-6.172247e-02
ADA	 2.638198e-02
ADAD1	 1.387920e-01
ADAD2	 2.322423e-01
ADAL	 4.630993e-02
ADAM10	 1.356325e-01
ADAM11	 1.467393e-01
ADAM12	 5.060088e-02
ADAM15	 4.534046e-02
ADAM17	 2.480085e-01
ADAM18	 2.803912e-01
ADAM19	 8.129151e-02
ADAM2	 2.541365e-01
ADAM20	 2.834001e-01
ADAM21	 1.400608e-01
ADAM22	 1.601149e-01
ADAM23	-2.326443e-01
ADAM28	 1.379306e-01
ADAM29	 1.485849e-01
ADAM30	 8.058449e-02
ADAM32	 3.145138e-01
ADAM33	 5.265085e-02
ADAM7	 1.286389e-01
ADAM8	 8.722968e-02
ADAM9	 9.931006e-02
ADAMDEC1	-1.332644e-01
ADAMTS1	 1.409741e-01
ADAMTS10	 6.302829e-02
ADAMTS12	 1.752099e-01
ADAMTS13	 2.357062e-01
ADAMTS14	 2.484758e-01
ADAMTS15	-2.560700e-02
ADAMTS16	 1.235871e-01
ADAMTS17	 1.251191e-01
ADAMTS18	 1.582193e-01
ADAMTS19	 1.349816e-01
ADAMTS2	 1.110239e-01
ADAMTS20	 1.551303e-01
ADAMTS3	 2.239304e-02
ADAMTS4	-3.055024e-01
ADAMTS5	 4.398075e-02
ADAMTS6	-5.674655e-02
ADAMTS7	-3.939930e-01
ADAMTS8	-2.891468e-02
ADAMTS9	 1.391059e-01
ADAMTSL1	 9.529176e-02
ADAMTSL2	 8.741750e-02
ADAMTSL3	-2.491204e-02
ADAMTSL4	-2.227730e-01
ADAMTSL5	-1.404481e-01
ADAP1	-8.998679e-02
ADAP2	-1.455150e-02
ADAR	-9.390597e-02
ADARB1	 2.836978e-01
ADARB2	 1.910353e-01
ADAT1	 2.148385e-01
ADAT2	-1.470082e-01
ADAT3	-2.913737e-01
ADC	 7.331442e-02
ADCK1	 3.006632e-01
ADCK2	 2.057846e-01
ADCK3	 1.670240e-01
ADCK4	-3.819921e-02
ADCK5	 2.117129e-01
ADCY1	 1.047636e-01
ADCY10	 2.694356e-01
ADCY2	 3.405625e-02
ADCY3	-4.940456e-02
ADCY4	-2.181153e-01
ADCY5	 1.657126e-01
ADCY6	 9.184551e-02
ADCY7	 6.552812e-02
ADCY8	 3.056935e-01
ADCY9	 1.578602e-01
ADCYAP1	 9.801613e-02
ADCYAP1R1	 2.681215e-01
ADD1	 2.038107e-01
ADD2	-4.455520e-02
ADD3	 9.495163e-02
ADH1A	-2.115363e-01
ADH1B	-1.720174e-02
ADH4	 1.775155e-01
ADH5	-1.959381e-01
ADH6	 2.415027e-01
ADH7	 1.173416e-01
ADHFE1	-3.569494e-02
ADI1	 2.707811e-01
ADIG	 3.289670e-01
ADIPOQ	 1.900821e-01
ADIPOR1	-1.447972e-02
ADIPOR2	 8.858578e-02
ADIRF	-2.065930e-02
ADK	-3.965070e-02
ADM	-2.161530e-02
ADM2	-1.696857e-01
ADM5	-1.095038e-01
ADNP	 5.129414e-02
ADNP2	 1.406038e-01
ADO	-4.672250e-01
ADORA1	 1.821727e-01
ADORA2A	-5.915292e-02
ADORA2B	 5.986677e-02
ADORA3	 1.178722e-01
ADPGK	 1.634381e-01
ADPRH	 1.931647e-01
ADPRHL1	 1.323699e-01
ADPRHL2	-2.447825e-01
ADPRM	 2.629980e-02
ADRA1A	-1.810593e-01
ADRA1B	 1.216225e-01
ADRA1D	 4.444202e-02
ADRA2A	-2.377826e-01
ADRA2B	 6.800447e-02
ADRA2C	 1.281903e-01
ADRB1	 1.292906e-01
ADRB2	 1.368688e-01
ADRB3	-1.084973e-01
ADRBK1	 5.164571e-02
ADRBK2	 4.071391e-01
ADRM1	-1.955310e-02
ADSL	-6.928868e-02
ADSS	-4.410053e-02
ADSSL1	-3.955747e-02
ADTRP	-6.905740e-02
AEBP1	 9.938946e-02
AEBP2	 9.092568e-02
AEN	-4.001387e-02
AES	 8.103337e-03
AFAP1	-1.957555e-01
AFAP1L1	-3.008323e-02
AFAP1L2	 7.558121e-02
AFF1	 1.937054e-01
AFF2	 2.043135e-01
AFF3	 1.763958e-01
AFF4	 2.748813e-01
AFG3L2	-4.984649e-01
AFM	-8.643569e-01
AFMID	 2.013176e-01
AFP	 1.912650e-01
AFTPH	 9.717325e-02
AGA	 9.051871e-02
AGAP1	 1.667554e-01
AGAP11	 9.704627e-02
AGAP2	-7.290194e-03
AGAP3	 2.347471e-02
AGAP4	-1.196701e+00
AGAP5	-8.616276e-01
AGAP6	-6.812251e-01
AGAP9	-1.140152e+00
AGBL1	 1.887183e-02
AGBL2	 1.825333e-01
AGBL3	 6.784189e-02
AGBL4	 3.242485e-01
AGBL5	 1.352054e-01
AGER	 9.714382e-02
AGFG1	 3.268424e-02
AGFG2	 1.494530e-01
AGGF1	 1.999371e-01
AGK	-2.849779e-02
AGL	 1.563300e-01
AGMAT	 2.345199e-01
AGMO	 1.963773e-01
AGO1	-9.871531e-02
AGO2	 2.973196e-03
AGO3	 3.148557e-01
AGO4	 2.194186e-01
AGPAT1	-2.290662e-02
AGPAT2	-2.747731e-01
AGPAT3	 1.247190e-01
AGPAT4	 9.408639e-02
AGPAT5	 8.139570e-03
AGPAT6	 1.780313e-01
AGPAT9	 1.743987e-01
AGPHD1	 1.454294e-01
AGPS	 6.762049e-02
AGR2	-5.030071e-02
AGR3	 3.619853e-01
AGRN	-2.268337e-02
AGRP	 1.185086e-01
AGT	-1.020110e-01
AGTPBP1	 7.855421e-03
AGTR1	-1.087742e-01
AGTR2	-3.132220e-02
AGTRAP	 1.878827e-01
AGXT	 3.326256e-02
AGXT2	 1.112643e-01
AGXT2L1	 1.318808e-01
AGXT2L2	-1.366797e-01
AHCTF1	-8.942470e-01
AHCY	-4.594023e-01
AHCYL1	-4.595580e-01
AHCYL2	-1.305374e-01
AHDC1	 4.186340e-01
AHI1	 1.638379e-01
AHNAK	 1.347153e-01
AHNAK2	-9.574674e-02
AHR	-8.478419e-02
AHRR	 3.204013e-02
AHSA1	-2.287817e-02
AHSA2	-1.064679e-01
AHSG	 1.609938e-01
AHSP	 1.094380e-01
AICDA	 8.989646e-02
AIDA	-1.319438e-01
AIF1	 7.643337e-02
AIF1L	 2.104489e-01
AIFM1	-1.079092e+00
AIFM2	 1.141319e-01
AIFM3	 3.210063e-02
AIG1	 1.879753e-01
AIM1	 6.442902e-02
AIM2	 1.004353e-01
AIMP1	 2.260619e-02
AIMP2	-8.981441e-02
AIP	 2.774861e-02
AIPL1	 1.327661e-01
AIRE	 2.957591e-01
AJAP1	 6.193023e-02
AJUBA	 2.365247e-01
AK1	 1.822957e-01
AK2	 5.653176e-01
AK3	-1.411279e-01
AK4	-1.965339e-01
AK5	-1.736504e-02
AK6	-8.130511e-01
AK7	 9.819290e-02
AK8	 1.903203e-01
AK9	 6.455712e-02
AKAP1	 1.411528e-01
AKAP10	 1.119103e-01
AKAP11	 7.680704e-02
AKAP12	 4.639912e-02
AKAP13	 1.309290e-01
AKAP14	 2.917561e-01
AKAP17A_X	 1.117372e-01
AKAP2	 1.737857e-01
AKAP3	 3.915048e-02
AKAP4	-4.994916e-02
AKAP5	 9.127474e-02
AKAP6	 1.680390e-01
AKAP7	 1.277942e-03
AKAP8	 1.741149e-01
AKAP8L	 6.693443e-03
AKAP9	-5.624792e-02
AKIP1	 9.562265e-03
AKIRIN1	 6.690443e-03
AKIRIN2	-4.220114e-01
AKNA	 1.769195e-01
AKNAD1	 6.404379e-02
AKR1A1	 8.226245e-02
AKR1B1	 1.303598e-01
AKR1B10	 1.225365e-01
AKR1B15	 1.077074e-01
AKR1C1	 6.458412e-02
AKR1C2	 3.626818e-01
AKR1C3	 3.646165e-01
AKR1C4	 2.364457e-01
AKR1D1	-2.300519e-02
AKR1E2	 2.181906e-02
AKR7A2	 1.263852e-01
AKR7A3	 1.852738e-01
AKT1	-5.843965e-02
AKT1S1	-1.061490e-01
AKT2	-1.876433e-01
AKT3	 2.275444e-01
AKTIP	-1.349751e-01
ALAD	-8.181112e-02
ALAS1	 1.621891e-01
ALAS2	 1.952217e-02
ALB	 1.075149e-01
ALCAM	 1.033872e-01
ALDH16A1	 2.631316e-01
ALDH18A1	 1.182827e-01
ALDH1A1	-1.414006e-01
ALDH1A2	-1.425689e-02
ALDH1A3	 9.266253e-02
ALDH1B1	 3.065949e-01
ALDH1L1	-9.615719e-03
ALDH1L2	 2.842964e-01
ALDH2	 2.292073e-01
ALDH3A1	 2.757843e-01
ALDH3A2	 2.599614e-01
ALDH3B1	 7.816956e-02
ALDH3B2	-4.756723e-02
ALDH4A1	 1.098908e-01
ALDH5A1	 2.077143e-01
ALDH6A1	 7.536961e-02
ALDH7A1	 5.681508e-02
ALDH8A1	-1.355301e-01
ALDH9A1	 2.107634e-01
ALDOA	-2.123734e-01
ALDOB	 1.745772e-02
ALDOC	 2.910177e-01
ALG1	-5.777612e-01
ALG10	 2.100687e-01
ALG10B	-3.203673e-02
ALG11	-1.046869e+00
ALG12	 5.165192e-02
ALG13	-3.362354e-01
ALG14	-5.867875e-01
ALG1L	-1.535123e-01
ALG2	-9.113406e-01
ALG3	-2.894441e-02
ALG5	-1.773627e-01
ALG6	-1.630644e-01
ALG8	-1.016200e-01
ALG9	 1.712139e-01
ALK	 2.226588e-01
ALKBH1	-1.130588e-02
ALKBH2	 5.240586e-02
ALKBH3	 1.212662e-01
ALKBH4	 1.540682e-02
ALKBH5	-1.862041e-02
ALKBH6	-2.470154e-02
ALKBH7	-5.204556e-02
ALKBH8	 1.493544e-03
ALLC	 9.740000e-02
ALMS1	 1.575933e-01
ALOX12	 3.493864e-01
ALOX12B	-2.905602e-02
ALOX15	 1.091437e-01
ALOX15B	 8.052376e-03
ALOX5	 4.386497e-02
ALOX5AP	-1.521899e-01
ALOXE3	-6.227303e-02
ALPI	 3.250389e-02
ALPK1	-1.398647e-02
ALPK2	-1.576345e-01
ALPK3	 3.733065e-02
ALPL	 1.344710e-01
ALPP	 1.869652e-01
ALPPL2	 1.272555e-01
ALS2	-1.232872e-01
ALS2CL	 1.414052e-01
ALS2CR11	-2.802994e-02
ALS2CR12	 1.134704e-01
ALS2CR8	-2.562899e-02
ALX1	 2.600467e-01
ALX3	 3.211074e-02
ALX4	-1.589960e-01
ALYREF	-2.303823e-01
AMACR	-2.732910e-02
AMBN	 1.405453e-01
AMBP	-1.082506e-01
AMBRA1	 2.577882e-01
AMD1	-5.991222e-02
AMDHD1	 2.108005e-01
AMDHD2	 5.909891e-02
AMELX	-8.800282e-02
AMELY	 1.894843e-02
AMER1	-6.979984e-02
AMER2	 9.497083e-02
AMER3	 1.080049e-01
AMFR	-2.654272e-01
AMH	 1.498892e-01
AMHR2	 2.088861e-01
AMICA1	 7.442977e-02
AMIGO1	-2.601456e-01
AMIGO2	 5.722174e-02
AMIGO3	-2.861134e-01
AMMECR1	 2.084187e-01
AMMECR1L	 2.069419e-01
AMN	-9.365791e-02
AMN1	-3.567508e-02
AMOT	-5.614765e-02
AMOTL1	 1.858224e-01
AMOTL2	 4.340011e-03
AMPD1	 6.219806e-02
AMPD2	 2.574601e-01
AMPD3	-1.084142e-02
AMPH	 1.757152e-01
AMT	-3.141408e-02
AMTN	-1.066880e-02
AMY1A	-9.379729e-02
AMY1B	-1.073005e-01
AMY1C	 1.143961e-01
AMY2A	 1.412278e-01
AMY2B	 2.441419e-01
AMZ1	-8.994559e-03
AMZ2	 9.028951e-02
ANAPC1	-3.971569e-01
ANAPC10	-8.084885e-01
ANAPC11	-7.319605e-01
ANAPC13	-1.257006e-01
ANAPC15	-7.850950e-01
ANAPC16	 7.520599e-02
ANAPC2	-1.345873e+00
ANAPC4	-1.256342e+00
ANAPC5	-9.958006e-01
ANAPC7	 1.907436e-01
ANG	 1.578640e-01
ANGEL1	-4.141631e-02
ANGEL2	-1.455817e-02
ANGPT1	 1.797532e-01
ANGPT2	-4.942776e-02
ANGPT4	 1.905570e-01
ANGPTL1	 5.538873e-02
ANGPTL2	 2.101458e-01
ANGPTL3	 1.278695e-01
ANGPTL4	 2.215222e-01
ANGPTL5	 2.384017e-01
ANGPTL6	 3.718590e-02
ANGPTL7	-1.512019e-01
ANHX	 2.630038e-02
ANK1	 1.564268e-01
ANK2	 7.676185e-02
ANK3	 1.674703e-01
ANKAR	-1.640254e-01
ANKDD1A	 9.043482e-02
ANKDD1B	 2.616097e-01
ANKEF1	 5.676695e-02
ANKFN1	 3.468217e-02
ANKFY1	 2.247054e-02
ANKH	 2.810994e-01
ANKHD1	-5.192635e-04
ANKHD1-EIF4EBP3	-1.859976e-01
ANKIB1	 6.522309e-02
ANKK1	 9.445175e-02
ANKLE2	-7.391469e-01
ANKMY1	 4.499497e-02
ANKMY2	 1.511702e-01
ANKRA2	 2.673760e-02
ANKRD1	-3.404102e-02
ANKRD10	 6.832363e-02
ANKRD11	-2.617245e-01
ANKRD12	 4.750302e-03
ANKRD13A	 3.237667e-01
ANKRD13B	-8.744485e-02
ANKRD13C	 3.031083e-01
ANKRD13D	-1.077573e-03
ANKRD16	-9.783549e-02
ANKRD17	-3.498093e-01
ANKRD18A	 5.878092e-02
ANKRD18B	 8.028132e-02
ANKRD2	 4.670362e-02
ANKRD20A1	-6.656658e-01
ANKRD20A2	-7.810331e-02
ANKRD20A3	-5.348083e-02
ANKRD22	-3.405257e-02
ANKRD23	 1.458293e-01
ANKRD24	-4.350034e-02
ANKRD26	 9.298991e-02
ANKRD27	-3.029006e-02
ANKRD28	 2.254703e-01
ANKRD29	-1.391748e-02
ANKRD30A	 1.170924e-01
ANKRD30B	 2.683612e-01
ANKRD32	-5.524549e-02
ANKRD33	-6.978892e-02
ANKRD33B	 3.022169e-01
ANKRD34A	 7.311539e-03
ANKRD34B	 1.299461e-01
ANKRD34C	 4.999667e-02
ANKRD35	-1.478630e-02
ANKRD36	-2.532736e-02
ANKRD37	 8.370523e-02
ANKRD39	-2.733742e-02
ANKRD40	 3.208700e-02
ANKRD42	-1.680659e-01
ANKRD44	 2.139164e-01
ANKRD45	 2.226729e-01
ANKRD46	 2.588684e-01
ANKRD49	-2.547615e-01
ANKRD50	 2.480048e-02
ANKRD52	-2.763685e-01
ANKRD53	 1.047099e-02
ANKRD54	 8.790991e-02
ANKRD55	-3.993442e-02
ANKRD6	 8.048335e-02
ANKRD61	 1.165827e-01
ANKRD62	-7.168088e-02
ANKRD65	-1.064581e-01
ANKRD66	 2.079237e-01
ANKRD7	 4.222489e-02
ANKRD9	 5.795312e-02
ANKS1A	 2.714049e-01
ANKS1B	 2.428383e-01
ANKS3	-5.560438e-02
ANKS4B	 1.056520e-01
ANKS6	-1.091849e-01
ANKZF1	 1.352982e-01
ANLN	-1.978568e-01
ANO1	 1.343025e-01
ANO10	 2.330136e-01
ANO3	-3.611596e-02
ANO4	 4.678558e-01
ANO5	 3.172929e-01
ANO6	-5.045141e-03
ANO7	 6.549296e-03
ANO8	 7.823288e-02
ANO9	-2.613200e-02
ANP32A	 1.291584e-01
ANP32B	 1.388466e-01
ANP32D	 1.721159e-01
ANP32E	 4.380371e-01
ANPEP	 2.052759e-02
ANTXR1	 1.273403e-01
ANTXR2	 1.460538e-01
ANXA1	-4.688177e-04
ANXA10	 1.588760e-01
ANXA11	 2.643553e-01
ANXA13	-1.102386e-01
ANXA2	 1.679060e-01
ANXA2R	 8.167139e-02
ANXA3	 8.506703e-02
ANXA4	 1.176573e-01
ANXA5	-5.746682e-02
ANXA6	 1.217404e-01
ANXA7	 1.336489e-01
ANXA8	-8.728138e-03
ANXA8L1	 1.825463e-01
ANXA8L2	-1.142670e-01
ANXA9	 1.429216e-01
AOAH	-7.060504e-02
AOC2	-2.552560e-02
AOC3	 2.091013e-01
AOX1	 1.578259e-01
AP1AR	 2.858582e-02
AP1B1	 3.014516e-02
AP1G1	 3.009385e-01
AP1G2	 1.653610e-01
AP1M1	 2.606411e-01
AP1M2	 3.000757e-01
AP1S1	-1.601405e-01
AP1S2	 2.054065e-01
AP1S3	-2.928536e-02
AP2A1	-1.474515e-01
AP2A2	 8.149709e-02
AP2B1	 2.872906e-01
AP2M1	-4.462399e-01
AP2S1	-1.086697e+00
AP3B1	-2.932610e-01
AP3B2	 2.847172e-01
AP3D1	 1.761234e-01
AP3M1	 1.732515e-01
AP3M2	 8.612651e-02
AP3S1	 1.974456e-01
AP3S2	 7.699204e-02
AP4B1	 1.527009e-01
AP4E1	 1.249029e-01
AP4M1	 1.611284e-01
AP4S1	 7.421619e-02
AP5B1	 3.235406e-01
AP5M1	 2.808991e-01
AP5S1	 9.685768e-02
AP5Z1	 4.123292e-02
APAF1	 2.620410e-01
APBA1	 4.835026e-01
APBA2	-3.277031e-02
APBA3	 6.614505e-03
APBB1	 2.318415e-01
APBB1IP	 1.859128e-01
APBB2	 1.324124e-01
APBB3	 1.716899e-01
APC	-5.563920e-01
APC2	 1.672419e-01
APCDD1	 9.175560e-02
APCDD1L	 2.820224e-01
APCS	 1.193644e-01
APEH	 3.448774e-02
APEX1	-1.813033e-02
APEX2	-3.210345e-01
APH1A	 3.199594e-01
APH1B	 1.528178e-02
API5	 1.565633e-01
APIP	-8.963510e-02
APITD1	 1.763738e-01
APITD1-CORT	 1.900702e-01
APLF	-4.109336e-02
APLN	 3.217105e-01
APLNR	-7.233267e-02
APLP1	 5.513673e-02
APLP2	-1.706393e-01
APMAP	 2.452805e-02
APOA1	-3.041318e-02
APOA1BP	 2.233612e-02
APOA2	 2.852076e-01
APOA4	 1.422358e-01
APOA5	 3.873387e-02
APOB	 4.873457e-02
APOBEC1	 2.889429e-01
APOBEC2	 7.951375e-02
APOBEC3A	 2.181103e-01
APOBEC3A_B	 4.616254e-01
APOBEC3B	 1.961795e-01
APOBEC3C	 2.643453e-01
APOBEC3D	 4.514011e-02
APOBEC3F	 4.455661e-02
APOBEC3G	 1.722338e-01
APOBEC3H	 1.756505e-01
APOBEC4	 1.671527e-01
APOBR	 1.552977e-01
APOC1	 2.572586e-01
APOC2	-3.764917e-02
APOC3	 3.678961e-02
APOC4	 1.874566e-01
APOD	 2.628901e-01
APOE	 1.633749e-01
APOF	 1.694250e-01
APOH	-1.041448e-01
APOL1	 4.773860e-02
APOL2	 1.900905e-01
APOL3	 1.907303e-01
APOL4	 1.062737e-01
APOL5	-6.687080e-02
APOL6	 2.492773e-01
APOLD1	-2.295865e-01
APOM	 1.538808e-01
APOO	 2.868430e-01
APOOL	 9.878010e-02
APOPT1	-2.717160e-02
APP	 9.184838e-02
APPBP2	 1.646100e-01
APPL1	 1.422021e-01
APPL2	 1.732574e-01
APRT	-2.284982e-01
APTX	-1.104659e-01
AQP1	 3.741139e-02
AQP10	 1.093056e-01
AQP11	-6.488900e-02
AQP12B	-1.199907e-01
AQP2	 1.468973e-01
AQP3	 2.139443e-01
AQP4	 2.860909e-02
AQP5	-1.153599e-01
AQP6	-3.741256e-02
AQP7	-1.512865e-01
AQP8	 3.051079e-01
AQP9	 2.128033e-01
AQPEP	 1.781618e-02
AQR	-1.979734e-01
AR	 2.733469e-01
ARAF	 1.937726e-01
ARAP1	-4.613427e-02
ARAP2	-4.255828e-02
ARAP3	-1.548624e-01
ARC	-4.806694e-02
ARCN1	-8.877704e-01
AREG	 1.918495e-02
AREL1	-4.943732e-02
ARF1	-2.993006e-01
ARF3	-4.609326e-02
ARF4	 1.734021e-01
ARF5	 4.421629e-02
ARF6	 8.486634e-02
ARFGAP1	 1.087189e-01
ARFGAP2	 3.198622e-02
ARFGAP3	 3.670813e-01
ARFGEF1	 1.344826e-01
ARFGEF2	 2.498800e-01
ARFIP1	 5.568465e-02
ARFIP2	-6.644582e-02
ARFRP1	-1.296742e+00
ARG1	 1.491719e-01
ARG2	-1.329351e-02
ARGFX	-3.689906e-02
ARGLU1	-7.705783e-01
ARHGAP1	-3.792973e-02
ARHGAP10	 2.533515e-01
ARHGAP11A	-4.025271e-01
ARHGAP11B	-4.223873e-01
ARHGAP12	 3.201643e-01
ARHGAP15	 1.718065e-01
ARHGAP17	-2.151629e-02
ARHGAP18	 4.231519e-02
ARHGAP19	 3.510719e-02
ARHGAP20	-4.477076e-02
ARHGAP21	 1.657494e-01
ARHGAP22	 9.370560e-02
ARHGAP23	 4.689158e-02
ARHGAP24	 2.403781e-01
ARHGAP25	 2.014355e-01
ARHGAP26	 1.390381e-01
ARHGAP27	 1.987796e-01
ARHGAP28	 6.142381e-02
ARHGAP29	 1.569540e-01
ARHGAP30	 5.939863e-02
ARHGAP31	 1.126495e-01
ARHGAP32	 1.899837e-01
ARHGAP33	-1.066707e-01
ARHGAP35	-1.700725e-01
ARHGAP36	 7.086511e-02
ARHGAP39	 5.385997e-03
ARHGAP4	 1.343236e-01
ARHGAP40	 1.769174e-01
